Country,Year,Urbanization over 1 million,GDP per capita,UrbLog,GDPLog,Urbanization Percentage,UrbPer
Afghanistan,1970,4.283834747,158.764231,1.454848577,5.067420278,11.529,11.529
Afghanistan,1971,4.374136636,161.7095169,1.47570916,5.08580162,11.917,11.917
Afghanistan,1972,4.538740029,137.0236881,1.512649447,4.920153817,12.316,12.316
Afghanistan,1973,4.789772188,144.8506007,1.56648285,4.975702871,12.726,12.726
Afghanistan,1974,5.064989548,175.6255241,1.622352074,5.168354024,13.149,13.149
Afghanistan,1975,5.371775659,188.5521199,1.681158517,5.239374467,13.583,13.583
Afghanistan,1976,5.710906932,199.5466139,1.742377843,5.296047863,14.029,14.029
Afghanistan,1977,6.085238667,226.5788846,1.805865948,5.423093161,14.487,14.487
Afghanistan,1978,6.517539892,250.0076406,1.874496988,5.52149148,14.958,14.958
Afghanistan,1979,7.03310702,278.9397791,1.950628574,5.630995913,15.435,15.435
Afghanistan,1980,7.418755881,276.2977511,2.004011372,5.621479093,15.681,15.681
Afghanistan,1981,7.90925461,268.3465601,2.068033543,5.59227928,15.93,15.93
Afghanistan,1982,8.510297286,272.1822175,2.141276876,5.606471759,16.182,16.182
Afghanistan,1983,9.210599834,277.6882049,2.220354977,5.626498919,16.437,16.437
Afghanistan,1984,9.975363173,283.4813354,2.30011837,5.647146285,16.696,16.696
Afghanistan,1985,10.75516934,288.1348451,2.375386508,5.663428583,16.958,16.958
Afghanistan,1986,11.54544766,294.8384441,2.446291217,5.686427559,17.223,17.223
Afghanistan,1987,12.27977819,261.0026273,2.50795386,5.564530474,17.491,17.491
Afghanistan,1988,12.88840039,241.9156025,2.556327712,5.488588915,17.763,17.763
Afghanistan,1989,13.22223176,298.0030091,2.581899637,5.697103584,18.038,18.038
Afghanistan,1990,13.20684094,308.7154058,2.580734948,5.732419836,18.316,18.316
Afghanistan,1991,12.83453442,264.8341752,2.552139539,5.579103876,18.597,18.597
Afghanistan,1992,12.245136,251.5661165,2.505128797,5.527705844,18.882,18.882
Afghanistan,1993,11.64330912,175.5744929,2.454731691,5.168063414,19.17,19.17
Afghanistan,1994,11.19823466,128.2740486,2.415756146,4.85416898,19.462,19.462
Afghanistan,1995,10.96716703,184.0263031,2.394905994,5.215078699,19.757,19.757
Afghanistan,1996,10.94296717,169.6610006,2.392696982,5.133802332,20.055,20.055
Afghanistan,1997,11.06811937,158.5749911,2.404068847,5.066227611,20.356,20.356
Afghanistan,1998,11.28165103,149.3555195,2.423177603,5.006329501,20.661,20.661
Afghanistan,1999,11.49772771,136.0875826,2.442149425,4.913298668,20.97,20.97
Afghanistan,2000,11.65849492,171.4885951,2.456035092,5.144516764,21.282,21.282
Afghanistan,2001,11.75052753,169.597256,2.463898136,5.133426544,21.596,21.596
Afghanistan,2002,11.80393145,193.0012908,2.46843265,5.262696877,21.915,21.915
Afghanistan,2003,11.84523352,213.5109668,2.471925552,5.363688198,22.237,22.237
Afghanistan,2004,11.91133635,232.6099365,2.477490581,5.449362958,22.562,22.562
Afghanistan,2005,12.02387046,266.3558364,2.486893879,5.584833146,22.895,22.895
Afghanistan,2006,12.18542639,293.1676095,2.500240679,5.680744492,23.237,23.237
Afghanistan,2007,12.38492886,393.9439629,2.516480319,5.976208673,23.587,23.587
Afghanistan,2008,12.6133662,398.3575797,2.534757061,5.987350043,23.946,23.946
Afghanistan,2009,12.85745256,453.7502981,2.553923609,6.117547043,24.313,24.313
Afghanistan,2010,13.10777042,566.167599,2.573205216,6.338890146,24.689,24.689
Afghanistan,2011,13.36255922,658.654922,2.592456708,6.490199759,25.074,25.074
Afghanistan,2012,13.62515413,715.2125635,2.611917653,6.57257979,25.468,25.468
Afghanistan,2013,13.8973105,707.5982985,2.631695332,6.561876558,25.871,25.871
Algeria,1970,8.720574807,351.6995414,2.165685154,5.862777236,39.5,39.5
Algeria,1971,8.764984887,356.0549839,2.170764794,5.875085168,39.665,39.665
Algeria,1972,8.812838563,463.6856145,2.176209586,6.139206768,39.831,39.831
Algeria,1973,8.860893419,580.4912895,2.181647597,6.363874796,39.997,39.997
Algeria,1974,8.907537745,811.6023062,2.186897856,6.699010449,40.163,40.163
Algeria,1975,8.95034644,926.1695387,2.19169224,6.831057305,40.33,40.33
Algeria,1976,8.990519978,1027.650814,2.196170686,6.935030713,40.497,40.497
Algeria,1977,8.937461226,1181.363886,2.19025157,7.074424886,40.928,40.928
Algeria,1978,8.736799008,1442.038886,2.167543876,7.273813284,41.794,41.794
Algeria,1979,8.533018468,1762.085718,2.143943164,7.474253453,42.665,42.665
Algeria,1980,8.325674021,2174.442171,2.119343996,7.684527438,43.542,43.542
Algeria,1981,8.115248704,2206.755414,2.093744848,7.699278577,44.42,44.42
Algeria,1982,7.905023112,2176.416345,2.067498394,7.685434925,45.303,45.303
Algeria,1983,7.699443414,2275.281634,2.041148042,7.729859119,46.189,46.189
Algeria,1984,7.503412002,2390.341987,2.015357851,7.779191725,47.079,47.079
Algeria,1985,7.319573745,2538.443898,1.990552095,7.839306534,47.968,47.968
Algeria,1986,7.148475387,2679.125334,1.966899101,7.893245652,48.86,48.86
Algeria,1987,7.013715325,2661.5863,1.947867564,7.886677577,49.722,49.722
Algeria,1988,6.951270012,2360.493667,1.938924378,7.766626057,50.511,50.511
Algeria,1989,6.896183527,2168.760443,1.930968147,7.681911059,51.298,51.298
Algeria,1990,6.848658529,2358.672702,1.924052798,7.765854325,52.085,52.085
Algeria,1991,6.808127997,1735.360541,1.918117192,7.458970475,52.871,52.871
Algeria,1992,6.775081785,1787.405906,1.913251438,7.488520633,53.657,53.657
Algeria,1993,6.750080618,1809.879916,1.909554448,7.501015777,54.439,54.439
Algeria,1994,6.735001234,1475.557816,1.907317993,7.296791378,55.219,55.219
Algeria,1995,6.730284287,1434.952921,1.906617385,7.26888732,55.997,55.997
Algeria,1996,6.73565753,1572.852224,1.907415434,7.360645953,56.774,56.774
Algeria,1997,6.749360844,1587.619448,1.909447811,7.369990971,57.544,57.544
Algeria,1998,6.770108858,1563.495997,1.912517166,7.354679617,58.313,58.313
Algeria,1999,6.757149464,1555.192894,1.910601124,7.349354865,59.118,59.118
Algeria,2000,6.748468424,1727.343923,1.909315579,7.454340203,59.919,59.919
Algeria,2001,6.743479465,1702.779539,1.908576033,7.440017218,60.712,60.712
Algeria,2002,6.741471619,1742.55978,1.908278242,7.463110449,61.501,61.501
Algeria,2003,6.739030432,2056.265878,1.907916062,7.628646936,62.284,62.284
Algeria,2004,6.732329498,2550.181943,1.90692122,7.843919986,63.061,63.061
Algeria,2005,6.718407929,3038.735967,1.904851211,8.019196908,63.83,63.83
Algeria,2006,6.69699675,3391.385869,1.90165918,8.128993928,64.593,64.593
Algeria,2007,6.669049014,3845.825086,1.897477273,8.254743446,65.348,65.348
Algeria,2008,6.636050335,4786.532893,1.892516957,8.473561606,66.097,66.097
Algeria,2009,6.599653874,3771.263214,1.887017204,8.235165294,66.822,66.822
Algeria,2010,6.561894103,4349.569325,1.881279296,8.377832113,67.526,67.526
Algeria,2011,6.522981434,5274.059424,1.875331547,8.570555634,68.209,68.209
Algeria,2012,6.483392563,5401.126796,1.869243917,8.594362877,68.87,68.87
