Country,Year,GDPLog,UrbPer1,GDPLog1
Afghanistan,1971,0.021079685,0.003627357,0.021079685
Afghanistan,1972,0.037631059,-0.032570638,0.037631059
Afghanistan,1973,0.055308777,0.011290105,0.055308777
Afghanistan,1974,0.057459384,0.03871838,0.057459384
Afghanistan,1975,0.06056994,0.013741404,0.06056994
Afghanistan,1976,0.063132062,0.010816825,0.063132062
Afghanistan,1977,0.065546811,0.023988699,0.065546811
Afghanistan,1978,0.071040965,0.018144317,0.071040965
Afghanistan,1979,0.07910456,0.019832401,0.07910456
Afghanistan,1980,0.054833356,-0.001690078,0.054833356
Afghanistan,1981,0.066116036,-0.005194329,0.066116036
Afghanistan,1982,0.075992329,0.00253787,0.075992329
Afghanistan,1983,0.082288847,0.00357215,0.082288847
Afghanistan,1984,0.083030785,0.003669665,0.083030785
Afghanistan,1985,0.078173211,0.002883279,0.078173211
Afghanistan,1986,0.073478929,0.004060963,0.073478929
Afghanistan,1987,0.06360347,-0.021436497,0.06360347
Afghanistan,1988,0.049562964,-0.013647433,0.049562964
Afghanistan,1989,0.025901691,0.037990579,0.025901691
Afghanistan,1990,-0.001164011,0.006198984,-0.001164011
Afghanistan,1991,-0.02819043,-0.026745417,-0.02819043
Afghanistan,1992,-0.045922852,-0.009212596,-0.045922852
Afghanistan,1993,-0.04914824,-0.065061789,-0.04914824
Afghanistan,1994,-0.03822577,-0.060737342,-0.03822577
Afghanistan,1995,-0.020634291,0.074350465,-0.020634291
Afghanistan,1996,-0.002206573,-0.015584878,-0.002206573
Afghanistan,1997,0.01143677,-0.013162704,0.01143677
Afghanistan,1998,0.019292497,-0.01182302,0.019292497
Afghanistan,1999,0.019152931,-0.018582643,0.019152931
Afghanistan,2000,0.01398252,0.047059646,0.01398252
Afghanistan,2001,0.007894039,-0.002155736,0.007894039
Afghanistan,2002,0.00454481,0.025182075,0.00454481
Afghanistan,2003,0.00349901,0.019190032,0.00349901
Afghanistan,2004,0.005580543,0.015973106,0.005580543
Afghanistan,2005,0.009447648,0.024859821,0.009447648
Afghanistan,2006,0.013436267,0.017173538,0.013436267
Afghanistan,2007,0.016372219,0.052011524,0.016372219
Afghanistan,2008,0.018444784,0.001864287,0.018444784
Afghanistan,2009,0.019351405,0.021745346,0.019351405
Afghanistan,2010,0.019468698,0.036181676,0.019468698
Afghanistan,2011,0.019437997,0.023870048,0.019437997
Afghanistan,2012,0.019651543,0.012692989,0.019651543
Afghanistan,2013,0.019974553,-0.001628467,0.019974553
Algeria,1971,0.005092563,0.002099335,0.005092563
Algeria,1972,0.005459642,0.044956216,0.005459642
Algeria,1973,0.005452824,0.036595612,0.005452824
Algeria,1974,0.005264066,0.052662201,0.005264066
Algeria,1975,0.004805895,0.019711397,0.004805895
Algeria,1976,0.00448849,0.01522069,0.00448849
Algeria,1977,-0.005901633,0.020100008,-0.005901633
Algeria,1978,-0.022451814,0.028184397,-0.022451814
Algeria,1979,-0.023324394,0.027556408,-0.023324394
Algeria,1980,-0.024299074,0.028133109,-0.024299074
Algeria,1981,-0.025274268,0.00191959,-0.025274268
Algeria,1982,-0.025905009,-0.001798045,-0.025905009
Algeria,1983,-0.026006211,0.00578031,-0.026006211
Algeria,1984,-0.025460465,0.006382083,-0.025460465
Algeria,1985,-0.024500621,0.007727642,-0.024500621
Algeria,1986,-0.023375454,0.006880598,-0.023375454
Algeria,1987,-0.018851581,-0.000832113,-0.018851581
Algeria,1988,-0.008903314,-0.015222065,-0.008903314
Algeria,1989,-0.007924665,-0.010907568,-0.007924665
Algeria,1990,-0.006891493,0.010927394,-0.006891493
Algeria,1991,-0.005918025,-0.039517075,-0.005918025
Algeria,1992,-0.004853935,0.003961694,-0.004853935
Algeria,1993,-0.003690165,0.001668573,-0.003690165
Algeria,1994,-0.002233956,-0.027226232,-0.002233956
Algeria,1995,-0.000700363,-0.003824155,-0.000700363
Algeria,1996,0.000798368,0.012623477,0.000798368
Algeria,1997,0.002034443,0.001269592,0.002034443
Algeria,1998,0.003074071,-0.002077527,0.003074071
Algeria,1999,-0.001914208,-0.000723995,-0.001914208
Algeria,2000,-0.001284719,0.014284973,-0.001284719
Algeria,2001,-0.000739273,-0.001921429,-0.000739273
Algeria,2002,-0.000297746,0.003103922,-0.000297746
Algeria,2003,-0.000362115,0.022180629,-0.000362115
Algeria,2004,-0.000994347,0.028219034,-0.000994347
Algeria,2005,-0.002067868,0.022345578,-0.002067868
Algeria,2006,-0.003186942,0.013691773,-0.003186942
