Country,Year,GDP per capita,LogGDP,UrbPer,LogGDP
Afghanistan,1971,0.018551319,0.003627357,0.033654263,0.003627357
Afghanistan,1972,-0.152655386,-0.032570638,0.033481581,-0.032570638
Afghanistan,1973,0.057120872,0.011290105,0.033290029,0.011290105
Afghanistan,1974,0.212459757,0.03871838,0.033239038,0.03871838
Afghanistan,1975,0.073603173,0.013741404,0.033006312,0.013741404
Afghanistan,1976,0.058310105,0.010816825,0.032835162,0.010816825
Afghanistan,1977,0.135468451,0.023988699,0.03264666,0.023988699
Afghanistan,1978,0.103402204,0.018144317,0.032511907,0.018144317
Afghanistan,1979,0.115725017,0.019832401,0.03188929,0.019832401
Afghanistan,1980,-0.009471679,-0.001690078,0.015937804,-0.001690078
Afghanistan,1981,-0.028777618,-0.005194329,0.015879089,-0.005194329
Afghanistan,1982,0.014293671,0.00253787,0.015819209,0.00253787
Afghanistan,1983,0.020229049,0.00357215,0.01575825,0.00357215
Afghanistan,1984,0.020861997,0.003669665,0.015757133,0.003669665
Afghanistan,1985,0.016415577,0.002883279,0.015692381,0.002883279
Afghanistan,1986,0.023265492,0.004060963,0.015626843,0.004060963
Afghanistan,1987,-0.114760532,-0.021436497,0.015560588,-0.021436497
Afghanistan,1988,-0.073129627,-0.013647433,0.015550855,-0.013647433
Afghanistan,1989,0.231847,0.037990579,0.015481619,0.037990579
Afghanistan,1990,0.035947277,0.006198984,0.015411908,0.006198984
Afghanistan,1991,-0.14214137,-0.026745417,0.015341778,-0.026745417
Afghanistan,1992,-0.050099496,-0.009212596,0.015325052,-0.009212596
Afghanistan,1993,-0.302074161,-0.065061789,0.015252622,-0.065061789
Afghanistan,1994,-0.26940385,-0.060737342,0.015232134,-0.060737342
Afghanistan,1995,0.434633935,0.074350465,0.015157743,0.074350465
Afghanistan,1996,-0.078061137,-0.015584878,0.015083262,-0.015584878
Afghanistan,1997,-0.06534212,-0.013162704,0.015008726,-0.013162704
Afghanistan,1998,-0.058139506,-0.01182302,0.014983297,-0.01182302
Afghanistan,1999,-0.088834594,-0.018582643,0.014955714,-0.018582643
Afghanistan,2000,0.260134039,0.047059646,0.014878398,0.047059646
Afghanistan,2001,-0.01102895,-0.002155736,0.014754252,-0.002155736
Afghanistan,2002,0.137997721,0.025182075,0.014771254,0.025182075
Afghanistan,2003,0.106267041,0.019190032,0.014693133,0.019190032
Afghanistan,2004,0.089451938,0.015973106,0.014615281,0.015973106
Afghanistan,2005,0.145075057,0.024859821,0.01475933,0.024859821
Afghanistan,2006,0.100661482,0.017173538,0.014937759,0.017173538
Afghanistan,2007,0.343749958,0.052011524,0.015062185,0.052011524
Afghanistan,2008,0.011203667,0.001864287,0.015220248,0.001864287
Afghanistan,2009,0.139052754,0.021745346,0.015326151,0.021745346
Afghanistan,2010,0.247751465,0.036181676,0.015464978,0.036181676
Afghanistan,2011,0.163356793,0.023870048,0.015593989,0.023870048
Afghanistan,2012,0.085868396,0.012692989,0.015713488,0.012692989
Afghanistan,2013,-0.010646157,-0.001628467,0.015823779,-0.001628467
Algeria,1971,0.012383987,0.002099335,0.004177215,0.002099335
Algeria,1972,0.302286544,0.044956216,0.00418505,0.044956216
Algeria,1973,0.251907049,0.036595612,0.004167608,0.036595612
Algeria,1974,0.398130034,0.052662201,0.004150311,0.052662201
Algeria,1975,0.141161788,0.019711397,0.004158056,0.019711397
Algeria,1976,0.109570949,0.01522069,0.004140838,0.01522069
Algeria,1977,0.149577142,0.020100008,0.010642764,0.020100008
Algeria,1978,0.220655975,0.028184397,0.021159109,0.028184397
Algeria,1979,0.2219405,0.027556408,0.020840312,0.027556408
Algeria,1980,0.234016114,0.028133109,0.02055549,0.028133109
Algeria,1981,0.014860475,0.00191959,0.020164439,0.00191959
Algeria,1982,-0.01374827,-0.001798045,0.019878433,-0.001798045
Algeria,1983,0.045425724,0.00578031,0.019557204,0.00578031
Algeria,1984,0.050569719,0.006382083,0.019268657,0.006382083
Algeria,1985,0.061958461,0.007727642,0.018883154,0.007727642
Algeria,1986,0.055420345,0.006880598,0.01859573,0.006880598
Algeria,1987,-0.006546552,-0.000832113,0.017642243,-0.000832113
Algeria,1988,-0.113125257,-0.015222065,0.015868227,-0.015222065
Algeria,1989,-0.081225901,-0.010907568,0.015580765,-0.010907568
Algeria,1990,0.087567191,0.010927394,0.015341729,0.010927394
Algeria,1991,-0.264263948,-0.039517075,0.015090717,-0.039517075
Algeria,1992,0.029991096,0.003961694,0.014866373,0.003961694
Algeria,1993,0.012573535,0.001668573,0.014574054,0.001668573
Algeria,1994,-0.184720598,-0.027226232,0.014327963,-0.027226232
Algeria,1995,-0.027518335,-0.003824155,0.014089353,-0.003824155
Algeria,1996,0.096100228,0.012623477,0.013875743,0.012623477
Algeria,1997,0.009388818,0.001269592,0.013562546,0.001269592
Algeria,1998,-0.015194731,-0.002077527,0.013363687,-0.002077527
Algeria,1999,-0.005310601,-0.000723995,0.013804812,-0.000723995
Algeria,2000,0.110694326,0.014284973,0.013549173,0.014284973
Algeria,2001,-0.014220899,-0.001921429,0.013234533,-0.001921429
Algeria,2002,0.023361944,0.003103922,0.012995783,0.003103922
Algeria,2003,0.180026018,0.022180629,0.0127315,0.022180629
Algeria,2004,0.240200487,0.028219034,0.012475114,0.028219034
Algeria,2005,0.191576144,0.022345578,0.012194542,0.022345578
Algeria,2006,0.116051511,0.013691773,0.011953627,0.013691773
Algeria,2007,0.133998086,0.01546926,0.011688573,0.01546926
Algeria,2008,0.244604938,0.026508172,0.011461713,0.026508172
Algeria,2009,-0.212109621,-0.028134133,0.010968728,-0.028134133
Algeria,2010,0.153345465,0.017324099,0.010535452,0.017324099
Algeria,2011,0.212547503,0.023003985,0.010114623,0.023003985
Algeria,2012,0.024092897,0.002777795,0.009690803,0.002777795
Algeria,2013,-0.014186958,-0.00166255,0.009292871,-0.00166255
Angola,1971,0.03146745,0.005012953,0.031891422,0.005012953
Angola,1972,0.007882859,0.001264105,0.02857328,0.001264105
Angola,1973,0.194298756,0.028549602,0.028283465,0.028549602
Angola,1974,0.094125914,0.014062443,0.028240627,0.014062443
Angola,1975,-0.281459726,-0.050954489,0.028001192,-0.050954489
Angola,1976,-0.067471928,-0.011347071,0.027933932,-0.011347071
Angola,1977,0.065450511,0.01041621,0.027682246,0.01041621
Angola,1978,0.082072785,0.012826084,0.027540048,0.012826084
Angola,1979,0.077871615,0.012039121,0.027335825,0.012039121
Angola,1980,0.291160028,0.040538181,0.027232096,0.040538181
Angola,1981,-0.095434213,-0.01529141,0.026965496,-0.01529141
Angola,1982,-0.035191664,-0.00554669,0.02679935,-0.00554669
Angola,1983,0.005336056,0.000828548,0.026627645,0.000828548
Angola,1984,0.024429777,0.003754582,0.026497804,0.003754582
Angola,1985,0.194104694,0.02749234,0.026223537,0.02749234
Angola,1986,-0.087413244,-0.013796736,0.026041436,-0.013796736
Angola,1987,0.122572465,0.017683369,0.025812868,0.017683369
Angola,1988,0.053497202,0.007832019,0.025669125,0.007832019
Angola,1989,0.134386657,0.018802182,0.025396564,0.018802182
Angola,1990,0.074473434,0.010513338,0.025248477,0.010513338
Angola,1991,0.146301467,0.019776542,0.024978501,0.019776542
Angola,1992,0.111958836,0.01507279,0.024827428,0.01507279
Angola,1993,-0.298901177,-0.049687225,0.024486454,-0.049687225
Angola,1994,-0.003388242,-0.000499725,0.024337087,-0.000499725
Angola,1995,-0.535099335,-0.112830541,0.024113475,-0.112830541
Angola,1996,0.270281755,0.039724792,0.023891967,0.039724792
Angola,1997,0.140919321,0.021054278,0.023605005,0.021054278
Angola,1998,-0.179535141,-0.030950953,0.023358002,-0.030950953
Angola,1999,-0.081442662,-0.013711514,0.0231477,-0.013711514
Angola,2000,0.411718039,0.05642737,0.022939543,0.05642737
